-0,37
-0,79
1,60
0,07
4,77
-1,58
0,16
-2,98
-0,26
3,98
0,93
1,93
-0,72
0,76
0,26
3,23
-1,88
-0,24
0,00
0,36
0,00
2,00
-1,29
2,58
0,51
0,75
-0,62
0,00
0,40
0,01
0,81
-2,36
-0,86
-1,27
0,66
-3,90
-0,96
1,66
-1,49
-1,47
-1,48
1,68
1,46
-0,34
-0,90
1,56
0,00
-1,69
0,30
1,42
-2,59
-0,34
0,77
0,83
-0,19
1,95
-2,07
0,89
-0,47
0,75
0,31
-0,90
0,00
-2,27
-1,37
-2,02
-1,13
3,27
1,27
3,07
-4,30
-2,94
-2,45
0,80
-0,11
0,00
0,00
-1,25
-0,38
2,46
-0,34
0,00
-0,35
1,97
-1,90
2,61
0,00
0,00
0,00
-1,08
-1,67
1,85
-0,94
2,51
2,63
0,84
1,66
2,30
-0,03
-1,06
